Time to create 108901 pairs for Sorted Array: 244.269 seconds.
Time to search 4532 pairs for Sorted Array: 0.009686 seconds.

Pairs and their number of appearances:
[{martelli, is} apps: 1]
[{shadow, within} apps: 2]
[{so, wellknown} apps: 1]
[{manuscript, of} apps: 2]
[{men, who} apps: 24]
[{any, serious} apps: 1]
[{in, the} apps: 1787]
[{portrait, 664} apps: 2]
[{of, leonardo} apps: 78]
[{were, all} apps: 7]
[{the, published} apps: 3]
[{110, scheme} apps: 1]
[{relative, thickness} apps: 2]
[{shade, on} apps: 11]
[{with, the} apps: 412]
[{years, duration} apps: 1]
[{towards, the} apps: 155]
[{of, mastering} apps: 1]
[{infinitely, more} apps: 1]
[{without, any} apps: 28]
[{by, the} apps: 724]
[{the, same} apps: 517]
[{leonardo, da} apps: 37]
[{660, 661} apps: 2]
[{the, direction} apps: 21]
[{representing, imaginary} apps: 2]
[{long, since} apps: 3]
[{the, differences} apps: 4]
[{is, that} apps: 108]
[{begin, with} apps: 7]
[{572, the} apps: 1]
[{them, together} apps: 7]
[{involved, welcome} apps: 1]
[{remain, to} apps: 2]
[{him, to} apps: 25]
[{of, the} apps: 4417]
[{emotions, 584} apps: 2]
[{interest, taken} apps: 1]
[{of, his} apps: 149]
[{216, 221} apps: 2]
[{solve, with} apps: 1]
[{pages, to} apps: 1]
[{not, insuperable} apps: 2]
[{mainly, due} apps: 1]
[{the, sequence} apps: 2]
[{to, sculpture} apps: 2]
[{from, the} apps: 826]
[{seventh, year} apps: 1]
[{to, the} apps: 1381]
[{out, the} apps: 34]
[{of, three} apps: 9]
[{next, footnote} apps: 1]
[{of, any} apps: 40]
[{seventh, year} apps: 1]
[{to, sculpture} apps: 2]
[{the, xviith} apps: 2]
[{to, remain} apps: 6]
[{in, arguing} apps: 1]
[{226, on} apps: 1]
[{runs, backwards} apps: 2]
[{del, regno} apps: 1]
[{of, light} apps: 145]
[{apparent, size} apps: 11]
[{months, in} apps: 1]
[{aerial, perspective} apps: 13]
[{of, disappearance} apps: 8]
[{case, 69} apps: 1]
[{or, the} apps: 38]
[{289, 291} apps: 2]
[{study, of} apps: 23]
[{the, fancy} apps: 1]
[{to, inspect} apps: 1]
[{450, 451} apps: 2]
[{444, 448} apps: 2]
[{454, 457} apps: 1]
[{private, life} apps: 4]
[{donation, to} apps: 1]
[{the, movement} apps: 24]
[{appreciated, this} apps: 1]
[{forgotten, it} apps: 1]
[{on, mathematics} apps: 2]
[{appears, to} apps: 27]
[{but, as} apps: 23]
[{preliminary, observations} apps: 3]
[{da, vinci} apps: 60]
[{and, shade} apps: 106]
[{derived, shadow} apps: 47]
[{49, definition} apps: 1]
[{in, the} apps: 1787]
[{is, headed} apps: 2]
[{cannot, retain} apps: 1]
[{a, tempest} apps: 7]
[{to, me} apps: 81]
[{to, the} apps: 1381]
[{of, a} apps: 546]
[{in, the} apps: 1787]
[{232, 234} apps: 3]
[{the, british} apps: 6]
[{vi, perspective} apps: 1]
[{to, make} apps: 77]
[{of, sight} apps: 43]
[{their, order} apps: 1]
[{at, different} apps: 8]
[{these, writings} apps: 2]
[{the, proportion} apps: 17]
[{to, state} apps: 2]
[{himself, could} apps: 1]
[{he, seems} apps: 6]
[{dispersed, throughout} apps: 1]
[{da, vinci} apps: 60]
[{ebook, was} apps: 1]
[{into, this} apps: 8]
[{it, before} apps: 4]
[{destroying, ships} apps: 1]
[{dispersed, throughout} apps: 1]
[{the, last} apps: 56]
[{let, no} apps: 1]
[{dujardin, of} apps: 1]
[{for, an} apps: 9]
[{for, as} apps: 4]
[{introduction, prolegomena} apps: 2]
[{corresponding, member} apps: 1]
[{sorts, of} apps: 6]
[{museum, mr} apps: 1]
[{for, this} apps: 34]
[{49, definition} apps: 1]
[{at, turin} apps: 3]
[{bernardo, di} apps: 9]
[{the, prices} apps: 1]
[{to, which} apps: 41]
[{these, afford} apps: 1]
[{the, rules} apps: 9]
[{at, berlin} apps: 1]
[{of, the} apps: 4417]
[{i, was} apps: 15]
[{a, disk} apps: 3]
[{71, the} apps: 1]
[{love, for} apps: 6]
[{start, of} apps: 1]
[{without, order} apps: 1]
[{braccio, martelli} apps: 2]
[{which, are} apps: 217]
[{17, the} apps: 4]
[{four, books} apps: 4]
[{were, those} apps: 2]
[{had, in} apps: 2]
[{martelli, di} apps: 1]
[{as, a} apps: 112]
[{investigations, on} apps: 3]
[{on, the} apps: 988]
[{the, numerous} apps: 14]
[{the, handwriting} apps: 12]
[{halves, added} apps: 1]
[{the, same} apps: 517]
[{exceptional, case} apps: 2]
[{time, from} apps: 1]
[{how, to} apps: 45]
[{601, 603} apps: 2]
[{researches, and} apps: 1]
[{oldest, and} apps: 1]
[{of, strength} apps: 5]
[{italian, text} apps: 2]
[{are, not} apps: 72]
[{has, ruled} apps: 1]
[{464, on} apps: 1]
[{head, and} apps: 26]
[{before, downloading} apps: 1]
[{477, on} apps: 1]
[{during, the} apps: 17]
[{on, the} apps: 988]
[{treatment, of} apps: 9]
[{the, bottom} apps: 79]
[{he, should} apps: 9]
[{of, light} apps: 145]
[{power, was} apps: 1]
[{origin, of} apps: 17]
[{legal, small} apps: 2]
[{the, line} apps: 69]
[{325, 327} apps: 1]
[{to, the} apps: 1381]
[{drawn, with} apps: 2]
[{and, shadow} apps: 16]
[{he, was} apps: 47]
[{and, some} apps: 13]
[{ebook, of} apps: 1]
[{arisen, during} apps: 1]
[{through, copies} apps: 1]
[{they, occur} apps: 6]
[{506, useful} apps: 1]
[{planned, whole} apps: 1]
[{readable, by} apps: 1]
[{information, about} apps: 5]
[{can, be} apps: 92]
[{introduction, to} apps: 7]
[{bottom, of} apps: 44]
[{the, original} apps: 202]
[{published, before} apps: 2]
[{notes, in} apps: 11]
[{seeds, 481} apps: 2]
[{shade, in} apps: 13]
[{important, were} apps: 1]
[{gifts, and} apps: 2]
[{147, second} apps: 1]
[{175, 179} apps: 3]
[{188, 191} apps: 2]
[{i, may} apps: 28]
[{for, an} apps: 9]
[{205, reflection} apps: 1]
[{senses, converge} apps: 1]
[{the, importance} apps: 6]
[{times, for} apps: 1]
[{ingenium, london} apps: 1]
[{the, whole} apps: 139]
[{morelli, senatore} apps: 1]
[{the, marchese} apps: 5]
[{on, the} apps: 988]
[{owners, of} apps: 1]
[{the, relation} apps: 7]
[{this, has} apps: 11]
[{many, difficulties} apps: 1]
[{compiler, of} apps: 1]
[{and, of} apps: 137]
[{at, the} apps: 466]
[{ceriani, of} apps: 1]
[{the, advantage} apps: 2]
[{use, of} apps: 25]
[{the, management} apps: 3]
[{can, also} apps: 3]
[{652, painting} apps: 1]
[{the, press} apps: 3]
[{literary, labours} apps: 2]
[{them, aside} apps: 2]
[{volume, 1} apps: 2]
[{seen, when} apps: 6]
[{their, distance} apps: 6]
[{of, the} apps: 4417]
[{of, mss} apps: 4]
[{ready, for} apps: 1]
[{of, this} apps: 262]
[{been, twice} apps: 1]
[{remarks, as} apps: 4]
[{to, himself} apps: 5]
[{of, the} apps: 4417]
[{texts, to} apps: 1]
[{importance, of} apps: 5]
[{is, always} apps: 29]
[{the, various} apps: 45]
[{the, illustrations} apps: 1]
[{that, the} apps: 462]
[{the, first} apps: 214]
[{of, the} apps: 4417]
[{571, 572} apps: 2]
[{82, demonstration} apps: 1]
[{when, he} apps: 30]
[{may, further} apps: 1]
[{handwriting, altered} apps: 1]
[{the, gradations} apps: 2]
[{order, that} apps: 14]
[{to, judge} apps: 5]
[{211, 212} apps: 2]
[{on, the} apps: 988]
[{himself, lamented} apps: 1]
[{sketching, figures} apps: 2]
[{his, scheme} apps: 2]
[{seems, almost} apps: 1]
[{were, almost} apps: 1]
[{termination, of} apps: 4]
[{this, or} apps: 1]
[{of, light} apps: 145]
[{book, on} apps: 38]
[{artist, s} apps: 10]
[{most, dissimilar} apps: 1]
[{world, of} apps: 5]
[{picture, of} apps: 9]
[{i, wrote} apps: 5]
[{that, i} apps: 42]
[{who, first} apps: 3]
[{me, was} apps: 3]
[{subject, of} apps: 11]
[{centuries, he} apps: 1]
[{of, the} apps: 4417]
[{of, the} apps: 4417]
[{have, to} apps: 39]
[{how, to} apps: 45]
[{the, distance} apps: 68]
[{to, readers} apps: 2]
[{so, long} apps: 16]
[{france, the} apps: 2]
[{leonardo, has} apps: 17]
[{value, of} apps: 3]
[{a, few} apps: 30]
[{the, different} apps: 18]
[{232, 234} apps: 3]
[{day, have} apps: 1]
[{selection, of} apps: 8]
[{notes, and} apps: 6]
[{308, 309} apps: 2]
[{is, mainly} apps: 1]
[{the, relation} apps: 7]
[{10, language} apps: 1]
[{s, studio} apps: 4]
[{of, the} apps: 4417]
[{proof, of} apps: 9]
[{1, translated} apps: 1]
[{the, relative} apps: 27]
[{or, edit} apps: 1]
[{the, separate} apps: 2]
[{through, holes} apps: 3]
[{brought, them} apps: 2]
[{the, trattato} apps: 7]
[{those, essentially} apps: 1]
[{to, this} apps: 98]
[{to, copy} apps: 3]
[{607, 609} apps: 2]
[{i, am} apps: 46]
[{in, the} apps: 1787]
[{shade, the} apps: 8]
[{the, unrestricted} apps: 1]
[{no, punctuation} apps: 1]
[{c, bell} apps: 1]
[{manuscript, pages} apps: 1]
[{my, own} apps: 13]
[{650, vii} apps: 1]
[{occur, in} apps: 18]
[{the, colours} apps: 30]
[{painting, is} apps: 12]
[{most, kindly} apps: 1]
[{their, order} apps: 1]
[{year, ahead} apps: 1]
[{its, application} apps: 3]
[{also, by} apps: 3]
[{of, rays} apps: 10]
[{book, on} apps: 38]
[{british, museum} apps: 6]
[{has, become} apps: 5]
[{rights, and} apps: 1]
[{of, a} apps: 546]
[{the, word} apps: 29]
[{this, or} apps: 1]
[{of, particular} apps: 3]
[{utility, and} apps: 2]
[{only, rendered} apps: 1]
[{remarks, on} apps: 14]
[{introductions, to} apps: 2]
[{nevertheless, no} apps: 1]
[{drawn, with} apps: 2]
[{reading, speaking} apps: 1]
[{the, preparation} apps: 7]
[{them, together} apps: 7]
[{extended, to} apps: 5]
[{this, is} apps: 187]
[{when, i} apps: 15]
[{in, the} apps: 1787]
[{of, the} apps: 4417]
[{of, drawings} apps: 7]
[{to, project} apps: 7]
[{by, one} apps: 11]
[{of, drawings} apps: 7]
[{of, the} apps: 4417]
[{with, reference} apps: 13]
[{in, the} apps: 1787]
[{39, and} apps: 2]
[{easily, ascertain} apps: 1]
[{of, the} apps: 4417]
[{in, how} apps: 1]
[{general, suggestions} apps: 2]
[{be, satisfactorily} apps: 1]
[{where, it} apps: 74]
[{is, proved} apps: 43]
[{use, of} apps: 25]
[{of, a} apps: 546]
[{which, occupied} apps: 2]
[{florence, in} apps: 9]
[{180, 181} apps: 2]
[{all, the} apps: 238]
[{of, derived} apps: 14]
[{museum, i} apps: 2]
[{falling, into} apps: 5]
[{of, studies} apps: 2]
[{by, its} apps: 39]
[{to, measure} apps: 6]
[{difficulties, were} apps: 1]
[{eating, and} apps: 2]
[{date, jan} apps: 1]
[{light, and} apps: 211]
[{444, 448} apps: 2]
[{serious, interruption} apps: 1]
[{different, distances} apps: 4]
[{light, and} apps: 211]
[{on, the} apps: 988]
[{only, for} apps: 6]
[{673, allegorical} apps: 1]
[{choice, of} apps: 9]
[{would, at} apps: 1]
[{to, prosecute} apps: 1]
[{on, the} apps: 988]
[{movement, of} apps: 25]
[{remember, to} apps: 7]
[{109, iii} apps: 1]
[{insuperable, for} apps: 1]
[{relative, proportions} apps: 12]
[{to, the} apps: 1381]
[{shadows, 192} apps: 2]
[{history, of} apps: 20]
[{in, the} apps: 1787]
[{fancy, of} apps: 1]
[{the, next} apps: 23]
[{389, on} apps: 1]
[{in, the} apps: 1787]
[{before, and} apps: 5]
[{begun, at} apps: 3]
[{studies, and} apps: 7]
[{the, intervals} apps: 3]
[{of, any} apps: 40]
[{as, to} apps: 174]
[{were, almost} apps: 1]
[{l, institut} apps: 6]
[{the, amount} apps: 11]
[{position, of} apps: 26]
[{a, disputed} apps: 2]
[{extensively, known} apps: 1]
[{3, let} apps: 1]
[{mass, of} apps: 31]
[{this, order} apps: 2]
[{to, me} apps: 81]
[{all, and} apps: 10]
[{attending, the} apps: 1]
[{481, ix} apps: 1]
[{30, 39} apps: 2]
[{point, 55} apps: 2]
[{than, with} apps: 3]
[{now, be} apps: 3]
[{334, the} apps: 1]
[{gestures, 593} apps: 2]
[{manuscripts, now} apps: 1]
[{in, the} apps: 1787]
[{they, may} apps: 23]
[{the, picture} apps: 30]
[{is, the} apps: 373]
[{dealt, with} apps: 2]
[{where, all} apps: 4]
[{subjects, many} apps: 1]
[{the, proof} apps: 12]
[{objects, denned} apps: 1]
[{satisfactory, reading} apps: 1]
[{or, less} apps: 34]
[{practice, to} apps: 1]
[{bernardo, di} apps: 9]
[{for, instead} apps: 1]
[{the, first} apps: 214]
[{contain, besides} apps: 1]
[{none, of} apps: 14]
[{and, the} apps: 1034]
[{blame, me} apps: 3]
[{of, the} apps: 4417]
[{sorts, of} apps: 6]
[{productive, power} apps: 2]
[{the, practice} apps: 13]
[{the, madonna} apps: 3]
[{light, and} apps: 211]
[{came, within} apps: 1]
[{by, means} apps: 53]
[{emblems, 681} apps: 1]
[{1651, raphael} apps: 1]
[{many, of} apps: 8]
[{the, numerous} apps: 14]
[{water, and} apps: 32]
[{halves, added} apps: 1]
[{methods, of} apps: 10]
[{the, text} apps: 127]
[{i, have} apps: 120]
[{read, the} apps: 3]
[{of, colours} apps: 24]
[{in, preparing} apps: 4]
[{of, mss} apps: 4]
[{just, as} apps: 31]
[{of, alternative} apps: 1]
[{which, had} apps: 5]
[{intended, the} apps: 1]
[{lady, day} apps: 1]
[{express, my} apps: 2]
[{394, 396} apps: 1]
[{as, a} apps: 112]
[{from, the} apps: 826]
[{hall, in} apps: 2]
[{the, rendering} apps: 2]
[{outline, 49} apps: 1]
[{the, movement} apps: 24]
[{of, strength} apps: 5]
[{cast, shadows} apps: 14]
[{brit, mus} apps: 2]
[{for, by} apps: 3]
[{juxtaposition, of} apps: 2]
[{indistinctness, at} apps: 6]
[{673, allegorical} apps: 1]
[{vol, i} apps: 41]
[{that, remain} apps: 1]
[{to, me} apps: 81]
[{of, depicting} apps: 6]
[{there, is} apps: 153]
[{with, regard} apps: 34]
[{extremely, few} apps: 1]
[{of, luminous} apps: 10]
[{much, for} apps: 2]
[{louvre, at} apps: 1]
[{of, reflection} apps: 4]
[{one, to} apps: 10]
[{falling, down} apps: 2]
[{on, perspective} apps: 9]
[{copy, and} apps: 4]
[{165, on} apps: 1]
[{for, a} apps: 76]
[{year, and} apps: 3]
[{is, so} apps: 29]
[{college, at} apps: 1]
[{year, ahead} apps: 1]
[{481, ix} apps: 1]
[{arrangement, of} apps: 29]
[{distances, 227} apps: 2]
[{this, is} apps: 187]
[{sketches, for} apps: 11]
[{monument, and} apps: 1]
[{necessary, to} apps: 27]
[{and, use} apps: 5]
[{laws, are} apps: 2]
[{the, british} apps: 6]
[{and, at} apps: 75]
[{too, by} apps: 1]
[{perspective, gradations} apps: 2]
[{the, leaves} apps: 39]
[{a, chronological} apps: 1]
[{of, trees} apps: 46]
[{the, right} apps: 89]
[{permission, please} apps: 1]
[{figure, preliminary} apps: 1]
[{of, the} apps: 4417]
[{as, seemed} apps: 1]
[{college, at} apps: 1]
[{idea, that} apps: 3]
[{copy, for} apps: 1]
[{just, as} apps: 31]
[{paragraphs, is} apps: 1]
[{throughout, europe} apps: 2]
[{more, to} apps: 5]
[{in, a} apps: 273]
[{a, comparatively} apps: 1]
[{in, 1882} apps: 1]
[{because, the} apps: 105]
[{indistinctness, at} apps: 6]
[{are, the} apps: 80]
[{of, the} apps: 4417]
[{added, to} apps: 15]
[{connecting, them} apps: 1]
[{309, proportions} apps: 1]
[{with, his} apps: 46]
[{legal, small} apps: 2]
[{of, the} apps: 4417]
[{fragment, inciting} apps: 1]
[{of, colours} apps: 24]
[{of, these} apps: 137]
[{and, use} apps: 5]
[{in, six} apps: 1]
[{the, legal} apps: 2]
[{where, it} apps: 74]
[{i, where} apps: 2]
[{of, numerous} apps: 2]
[{and, the} apps: 1034]
[{of, volume} apps: 4]
[{deciphering, the} apps: 1]
[{in, the} apps: 1787]
[{669, allegorical} apps: 1]
[{and, of} apps: 137]
[{to, prove} apps: 42]
[{proofreaders, team} apps: 1]
[{653, 654} apps: 2]
[{process, of} apps: 4]
[{the, distance} apps: 68]
[{the, hand} apps: 50]
[{47, 48} apps: 2]
[{had, in} apps: 2]
[{indistinctness, at} apps: 6]
[{and, interesting} apps: 3]
[{which, o} apps: 2]
[{the, very} apps: 30]
[{to, work} apps: 15]
[{on, the} apps: 988]
[{of, colours} apps: 24]
[{on, the} apps: 988]
[{thus, would} apps: 1]
[{braccio, martelli} apps: 2]
[{think, that} apps: 4]
[{camera, obscura} apps: 11]
[{perspective, 295} apps: 2]
[{the, teachings} apps: 1]
[{the, study} apps: 11]
[{de, colori} apps: 3]
[{on, water} apps: 12]
[{the, different} apps: 18]
[{at, short} apps: 3]
[{to, solve} apps: 2]
[{these, copies} apps: 1]
[{and, on} apps: 51]
[{through, holes} apps: 3]
[{della, signoria} apps: 5]
[{that, leonardo} apps: 67]
[{effects, on} apps: 2]
[{the, back} apps: 19]
[{203, 204} apps: 2]
[{the, panel} apps: 5]
[{for, a} apps: 76]
[{272, the} apps: 1]
[{advisable, considering} apps: 1]
[{della, pittura} apps: 7]
[{turn, over} apps: 3]
[{on, the} apps: 988]
[{english, start} apps: 1]
[{order, taken} apps: 1]
[{advisable, considering} apps: 1]
[{pittura, for} apps: 1]
[{me, special} apps: 1]
[{of, the} apps: 4417]
[{necessary, to} apps: 27]
[{rule, 225} apps: 2]
[{to, be} apps: 412]
[{seems, to} apps: 103]
[{was, of} apps: 5]
[{schedule, most} apps: 1]
[{decorations, on} apps: 1]
[{taken, direct} apps: 1]
[{r, a} apps: 4]
[{remarks, as} apps: 4]
[{dates, from} apps: 2]
[{a, period} apps: 4]
[{by, experiment} apps: 14]
[{science, than} apps: 1]
[{2002, edition} apps: 1]
[{representations, referring} apps: 2]
[{of, light} apps: 145]
[{shade, the} apps: 8]
[{among, them} apps: 19]
[{pages, the} apps: 2]
[{on, the} apps: 988]
[{arisen, during} apps: 1]
[{of, his} apps: 149]
[{gave, me} apps: 2]
[{practice, of} apps: 11]
[{the, history} apps: 13]
[{and, shadow} apps: 16]
[{that, it} apps: 150]
[{unity, of} apps: 1]
[{to, monsieur} apps: 2]
[{subjects, 5} apps: 2]
[{the, more} apps: 89]
[{on, the} apps: 988]
[{the, nature} apps: 66]
[{gifts, and} apps: 2]
[{through, which} apps: 16]
[{arrangement, of} apps: 29]
[{be, obliged} apps: 2]
[{figure, are} apps: 2]
[{works, in} apps: 5]
[{the, trattato} apps: 7]
[{begun, at} apps: 3]
[{leonardo, s} apps: 200]
[{of, anatomical} apps: 3]
[{monsieur, louis} apps: 1]
[{repeat, myself} apps: 1]
[{himself, at} apps: 3]
[{at, holkham} apps: 1]
[{manuscripts, now} apps: 1]
[{was, highly} apps: 1]
[{reference, to} apps: 20]
[{of, age} apps: 4]
[{and, use} apps: 5]
[{power, of} apps: 15]
[{reader, may} apps: 3]
[{other, private} apps: 1]
[{perspective, gradations} apps: 2]
[{time, for} apps: 4]
[{to, prosecute} apps: 1]
[{having, squandered} apps: 1]
[{to, be} apps: 412]
[{of, a} apps: 546]
[{on, light} apps: 21]
[{relative, density} apps: 2]
[{loose, leaves} apps: 3]
[{life, of} apps: 22]
[{i, have} apps: 120]
[{nature, of} apps: 70]
[{foot, 322} apps: 1]
[{277, 278} apps: 2]
[{only, be} apps: 7]
[{too, fatiguing} apps: 1]
[{has, no} apps: 35]
[{the, italian} apps: 8]
[{of, rainbows} apps: 2]
[{to, the} apps: 1381]
[{work, indicate} apps: 1]
[{which, would} apps: 11]
[{holes, 213} apps: 2]
[{66, general} apps: 1]
[{perspective, 40} apps: 2]
[{fragment, inciting} apps: 1]
[{in, a} apps: 273]
[{revd, a} apps: 1]
[{alexander, von} apps: 2]
[{of, light} apps: 145]
[{of, light} apps: 145]
[{characters, and} apps: 1]
[{effect, of} apps: 26]
[{191, on} apps: 1]
[{of, the} apps: 4417]
[{catalogue, of} apps: 3]
[{cases, begin} apps: 1]
[{pages, the} apps: 2]
[{relative, proportions} apps: 12]
[{da, vinci} apps: 60]
[{function, of} apps: 13]
[{a, comparatively} apps: 1]
[{of, detail} apps: 3]
[{materials, 638} apps: 2]
[{pittura, for} apps: 1]
[{at, the} apps: 466]
[{the, light} apps: 248]
[{the, original} apps: 202]
[{about, the} apps: 29]
[{25, differences} apps: 1]
[{288, vi} apps: 1]
[{departments, both} apps: 1]
[{scattered, materials} apps: 1]
[{head, 573} apps: 2]
[{copy, of} apps: 15]
[{suggestions, for} apps: 10]
[{to, the} apps: 1381]
[{but, none} apps: 2]
[{left, the} apps: 9]
[{now, extant} apps: 1]
[{theory, of} apps: 22]
[{of, light} apps: 145]
[{this, in} apps: 14]
[{any, connection} apps: 3]
[{illustration, by} apps: 2]
[{hall, in} apps: 2]
[{holes, 213} apps: 2]
[{of, the} apps: 4417]
[{famiglia, martelli} apps: 1]
[{earth, then} apps: 1]
[{introductions, to} apps: 2]
[{life, of} apps: 22]
[{subjects, while} apps: 1]
[{intensity, of} apps: 4]
[{recently, updated} apps: 1]
[{reflection, 203} apps: 2]
[{that, each} apps: 10]
[{that, remain} apps: 1]
[{industry, and} apps: 2]
[{for, a} apps: 76]
[{is, written} apps: 57]
[{s, manuscripts} apps: 4]
[{must, suppose} apps: 4]
[{in, the} apps: 1787]
[{transparency, of} apps: 4]
[{particular, passage} apps: 1]
[{value, was} apps: 1]
[{depicting, natural} apps: 2]
[{the, law} apps: 10]
[{its, application} apps: 3]
[{is, wanting} apps: 8]
[{in, rude} apps: 1]
[{at, which} apps: 5]
[{as, an} apps: 22]
[{shadow, 163} apps: 2]
[{published, and} apps: 3]
[{infinitely, more} apps: 1]
[{kensington, museum} apps: 1]
[{literary, labours} apps: 2]
[{till, his} apps: 2]
[{any, original} apps: 1]
[{given, for} apps: 3]
[{i, must} apps: 17]
[{proposition, its} apps: 1]
[{the, same} apps: 517]
[{680, mottoes} apps: 1]
[{proper, order} apps: 1]
[{i, prolegomena} apps: 1]
[{background, 562} apps: 2]
[{the, battle} apps: 16]
[{is, printed} apps: 1]
[{has, become} apps: 5]
[{601, 603} apps: 2]
[{they, commanded} apps: 1]
[{the, necessity} apps: 4]
[{assistance, in} apps: 1]
[{289, 291} apps: 2]
[{copies, of} apps: 8]
[{advisable, considering} apps: 1]
[{now, scattered} apps: 1]
[{and, with} apps: 64]
[{contents, i} apps: 2]
[{the, distribution} apps: 11]
[{of, this} apps: 262]
[{the, eye} apps: 521]
[{to, me} apps: 81]
[{labours, dates} apps: 1]
[{puzzling, and} apps: 1]
[{to, this} apps: 98]
[{wrote, backwards} apps: 1]
[{practice, 490} apps: 2]
[{movement, 211} apps: 2]
[{readings, and} apps: 1]
[{depth, of} apps: 17]
[{of, three} apps: 9]
[{411, the} apps: 2]
[{to, devise} apps: 2]
[{remarks, 128} apps: 2]
[{and, general} apps: 1]
[{point, to} apps: 6]
[{head, of} apps: 29]
[{as, to} apps: 174]
[{thirteen, leaves} apps: 1]
[{was, concerned} apps: 1]
[{274, on} apps: 1]
[{publish, his} apps: 2]
[{private, owners} apps: 1]
[{of, a} apps: 546]
[{painting, and} apps: 11]
[{the, incidence} apps: 4]
[{of, volume} apps: 4]
[{of, trees} apps: 46]
[{under, water} apps: 14]
[{shadows, 148} apps: 2]
[{and, was} apps: 9]
[{his, mighty} apps: 1]
[{the, revision} apps: 1]
[{of, it} apps: 101]
[{at, his} apps: 8]
[{complete, of} apps: 1]
[{perspective, general} apps: 2]
[{which, the} apps: 213]
[{of, the} apps: 4417]
[{of, manuscripts} apps: 8]
[{perspective, general} apps: 2]
[{end, with} apps: 2]
[{trattato, della} apps: 1]
[{colour, in} apps: 10]
[{librarian, to} apps: 1]
[{them, unfinished} apps: 1]
[{was, obviously} apps: 2]
[{for, a} apps: 76]
[{utility, and} apps: 2]
[{i, i} apps: 1]
[{the, scope} apps: 1]
[{perspective, 107} apps: 2]
[{concerned, was} apps: 1]
[{perspective, 90} apps: 2]
[{are, anything} apps: 1]
[{and, arranged} apps: 4]
[{ascertain, not} apps: 1]
[{written, observations} apps: 2]
[{enormous, mass} apps: 3]
[{be, used} apps: 7]
[{which, has} apps: 50]
[{extent, nay} apps: 1]
[{perhaps, the} apps: 6]
[{much, of} apps: 11]
[{1, in} apps: 6]
[{the, movement} apps: 24]
[{of, treatment} apps: 2]
[{199, on} apps: 1]
[{less, mutilated} apps: 1]
[{it, would} apps: 103]
[{beginning, of} apps: 43]
[{sure, to} apps: 2]
[{by, leonardo} apps: 63]
[{by, his} apps: 22]
[{the, unrestricted} apps: 1]
[{paragraphs, appear} apps: 1]
[{contents, remained} apps: 1]
[{the, torso} apps: 15]
[{human, figure} apps: 12]
[{obstacles, having} apps: 1]
[{on, the} apps: 988]
[{in, the} apps: 1787]
[{it, was} apps: 88]
[{so, that} apps: 119]
[{to, us} apps: 21]
[{the, translation} apps: 6]
[{fancy, of} apps: 1]
[{at, short} apps: 3]
[{277, 278} apps: 2]
[{their, order} apps: 1]
[{of, trees} apps: 46]
[{533, 535} apps: 2]
[{figure, 368} apps: 2]
[{the, mistaken} apps: 2]
[{distributed, proofreaders} apps: 1]
[{and, discoveries} apps: 2]
[{shape, of} apps: 13]
[{on, mechanics} apps: 2]
[{of, light} apps: 145]
[{text, into} apps: 2]
[{of, the} apps: 4417]
[{introductions, to} apps: 2]
[{reader, by} apps: 1]
[{relative, proportions} apps: 12]
[{index, the} apps: 1]
[{of, anatomical} apps: 3]
[{conclusions, 67} apps: 1]
[{of, his} apps: 149]
[{the, same} apps: 517]
[{mr, holmes} apps: 1]
[{there, is} apps: 153]
[{original, sheets} apps: 1]
[{leonardo, da} apps: 37]
[{shadows, 196} apps: 2]
[{preface, a} apps: 1]
[{on, light} apps: 21]
[{ships, and} apps: 4]
[{147, second} apps: 1]
[{and, of} apps: 137]
[{whole, the} apps: 3]
[{this, in} apps: 14]
[{only, but} apps: 3]
[{he, laboured} apps: 1]
[{you, breathe} apps: 2]
[{effect, of} apps: 26]
[{measure, the} apps: 8]
[{di, bandino} apps: 5]
[{and, index} apps: 1]
[{here, reproduced} apps: 9]
[{gave, me} apps: 2]
[{runs, backwards} apps: 2]
[{99, 106} apps: 1]
[{von, humboldt} apps: 2]
[{222, 223} apps: 2]
[{ready, for} apps: 1]
[{of, a} apps: 546]
[{france, the} apps: 2]
[{ingenium, london} apps: 1]
[{of, the} apps: 4417]
[{planned, arrangement} apps: 1]
[{painting, and} apps: 11]
[{indicated, and} apps: 2]
[{555, 559} apps: 1]
[{be, here} apps: 3]
[{by, referring} apps: 1]
[{experiments, on} apps: 2]
[{295, 297} apps: 2]
[{the, picture} apps: 30]
[{literary, labours} apps: 2]
[{superior, to} apps: 5]
[{661, the} apps: 1]
[{introduction, prolegomena} apps: 2]
[{is, proved} apps: 43]
[{for, a} apps: 76]
[{in, our} apps: 24]
[{remained, so} apps: 2]
[{preface, a} apps: 1]
[{nature, nay} apps: 2]
[{not, practised} apps: 1]
[{enquirers, had} apps: 1]
[{567, 570} apps: 3]
[{together, to} apps: 2]
[{of, remaining} apps: 3]
[{copyright, laws} apps: 2]
[{day, of} apps: 49]
[{are, not} apps: 72]
[{of, the} apps: 4417]
[{arranged, in} apps: 7]
[{you, would} apps: 29]
[{given, at} apps: 5]
[{definition, 222} apps: 2]
[{here, reproduced} apps: 9]
[{of, sight} apps: 43]
[{on, painting} apps: 27]
[{160, 162} apps: 2]
[{the, first} apps: 214]
[{153, 157} apps: 2]
[{182, further} apps: 1]
[{this, obvious} apps: 1]
