Time to create 108901 pairs for Array: 70.8181 seconds.
Time to search 2887 pairs for Array: 0.043374 seconds.

Pairs and their number of appearances:
[{monument, and} apps: 1]
[{proportions, of} apps: 38]
[{136, experiments} apps: 1]
[{found, on} apps: 4]
[{handwriting, altered} apps: 1]
[{till, his} apps: 2]
[{the, outlines} apps: 23]
[{of, the} apps: 4417]
[{final, arrangement} apps: 2]
[{gave, me} apps: 2]
[{72, 73} apps: 2]
[{to, sculpture} apps: 2]
[{his, notes} apps: 2]
[{have, very} apps: 1]
[{gustavo, frizzoni} apps: 2]
[{and, general} apps: 1]
[{187, fourth} apps: 1]
[{and, shade} apps: 106]
[{the, direction} apps: 21]
[{and, discoveries} apps: 2]
[{on, the} apps: 988]
[{them, on} apps: 15]
[{3, the} apps: 13]
[{of, volume} apps: 4]
[{release, date} apps: 2]
[{ii, linear} apps: 2]
[{readable, by} apps: 1]
[{vasari, says} apps: 1]
[{like, other} apps: 2]
[{at, the} apps: 466]
[{us, to} apps: 16]
[{the, emotions} apps: 2]
[{mathematician, read} apps: 1]
[{foot, 324} apps: 1]
[{for, this} apps: 34]
[{the, best} apps: 17]
[{of, the} apps: 4417]
[{that, he} apps: 94]
[{far, more} apps: 6]
[{prices, which} apps: 1]
[{parts, without} apps: 1]
[{readable, by} apps: 1]
[{as, complete} apps: 3]
[{512, on} apps: 1]
[{the, time} apps: 49]
[{at, berlin} apps: 1]
[{science, may} apps: 1]
[{of, a} apps: 546]
[{s, manuscripts} apps: 4]
[{on, perspective} apps: 9]
[{throughout, europe} apps: 2]
[{easily, ascertain} apps: 1]
[{from, this} apps: 40]
[{it, is} apps: 689]
[{were, derived} apps: 3]
[{to, the} apps: 1381]
[{make, volumes} apps: 1]
[{completed, obstacles} apps: 1]
[{logical, sequence} apps: 1]
[{passage, is} apps: 31]
[{any, other} apps: 41]
[{inspect, his} apps: 1]
[{661, the} apps: 1]
[{work, the} apps: 10]
[{the, effect} apps: 27]
[{by, the} apps: 724]
[{of, reading} apps: 1]
[{leaves, and} apps: 12]
[{suppose, that} apps: 13]
[{s, scope} apps: 2]
[{and, well} apps: 5]
[{connection, of} apps: 5]
[{which, now} apps: 3]
[{497, on} apps: 1]
[{brit, mus} apps: 2]
[{566, the} apps: 1]
[{perspective, 40} apps: 2]
[{of, light} apps: 145]
[{to, their} apps: 32]
[{shade, 548} apps: 2]
[{too, by} apps: 1]
[{of, sketching} apps: 2]
[{completed, obstacles} apps: 1]
[{thus, too} apps: 2]
[{paragraphs, appear} apps: 1]
[{do, they} apps: 6]
[{one, and} apps: 43]
[{560, 561} apps: 2]
[{which, leonardo} apps: 14]
[{direct, from} apps: 2]
[{these, afford} apps: 1]
[{utter, confusion} apps: 1]
[{reading, the} apps: 3]
[{of, the} apps: 4417]
[{91, 92} apps: 1]
[{but, also} apps: 4]
[{457, on} apps: 1]
[{out, his} apps: 7]
[{proportions, of} apps: 38]
[{to, the} apps: 1381]
[{at, milan} apps: 45]
[{and, down} apps: 5]
[{and, shade} apps: 106]
[{of, anghiari} apps: 8]
[{von, humboldt} apps: 2]
[{but, as} apps: 23]
[{it, is} apps: 689]
[{researches, i} apps: 1]
[{22nd, day} apps: 1]
[{sequence, of} apps: 2]
[{of, the} apps: 4417]
[{of, the} apps: 4417]
[{of, paris} apps: 4]
[{of, wind} apps: 8]
[{and, the} apps: 1034]
[{division, and} apps: 1]
[{varnishes, 635} apps: 1]
[{mass, of} apps: 31]
[{the, cast} apps: 11]
[{things, several} apps: 1]
[{of, detail} apps: 3]
[{30, 39} apps: 2]
[{one, year} apps: 3]
[{of, colours} apps: 24]
[{book, on} apps: 38]
[{preliminary, observations} apps: 3]
[{been, wrongly} apps: 1]
[{on, cast} apps: 2]
[{depends, on} apps: 4]
[{than, one} apps: 8]
[{how, to} apps: 45]
[{colours, 435} apps: 2]
[{the, left} apps: 96]
[{lady, day} apps: 1]
[{on, clouds} apps: 2]
[{system, and} apps: 1]
[{has, in} apps: 13]
[{to, acquire} apps: 10]
[{1888, preface} apps: 1]
[{to, be} apps: 412]
[{of, anatomical} apps: 3]
[{experiments, with} apps: 2]
[{given, as} apps: 22]
[{original, text} apps: 11]
[{to, me} apps: 81]
[{to, me} apps: 81]
[{intersection, of} apps: 14]
[{and, plans} apps: 3]
[{volumes, with} apps: 1]
[{had, been} apps: 39]
[{of, trees} apps: 46]
[{273, 274} apps: 2]
[{under, water} apps: 14]
[{a, comparatively} apps: 1]
[{1, in} apps: 6]
[{of, the} apps: 4417]
[{a, well} apps: 6]
[{notwithstanding, this} apps: 3]
[{of, leonardo} apps: 78]
[{bodies, 136} apps: 1]
[{beginning, of} apps: 43]
[{the, same} apps: 517]
[{divide, a} apps: 1]
[{we, are} apps: 31]
[{a, review} apps: 1]
[{general, suggestions} apps: 2]
[{486, 487} apps: 3]
[{been, preserved} apps: 7]
[{and, so} apps: 80]
[{manuscripts, and} apps: 6]
[{for, instance} apps: 37]
[{and, rain} apps: 5]
[{richter, 1888} apps: 2]
[{of, astronomy} apps: 5]
[{painting, the} apps: 18]
[{books, on} apps: 11]
[{for, the} apps: 289]
[{colour, of} apps: 55]
[{important, were} apps: 1]
[{book, on} apps: 38]
[{movement, 211} apps: 2]
[{of, which} apps: 119]
[{on, painting} apps: 27]
[{any, connection} apps: 3]
[{their, contents} apps: 5]
[{and, inconvenient} apps: 1]
[{through, holes} apps: 3]
[{in, the} apps: 1787]
[{131, the} apps: 2]
[{are, combined} apps: 1]
[{and, dissertations} apps: 3]
[{in, the} apps: 1787]
[{enormous, mass} apps: 3]
[{of, the} apps: 4417]
[{the, emotions} apps: 2]
[{regarded, as} apps: 21]
[{by, leonardo} apps: 63]
[{3, racolto} apps: 1]
[{namely, the} apps: 2]
[{sketching, figures} apps: 2]
[{that, leonardo} apps: 67]
[{leonardos, writings} apps: 1]
[{room, 137} apps: 2]
[{many, of} apps: 8]
[{love, for} apps: 6]
[{figure, 338} apps: 2]
[{had, the} apps: 12]
[{of, the} apps: 4417]
[{fashion, of} apps: 4]
[{the, texts} apps: 19]
[{nature, nay} apps: 2]
[{could, only} apps: 4]
[{consequently, built} apps: 1]
[{trichet, dufresne} apps: 1]
[{which, the} apps: 213]
[{different, paragraphs} apps: 1]
[{size, of} apps: 56]
[{the, inversion} apps: 3]
[{obliged, him} apps: 1]
[{at, the} apps: 466]
[{in, this} apps: 118]
[{of, the} apps: 4417]
[{one, long} apps: 1]
[{english, start} apps: 1]
[{of, his} apps: 149]
[{detached, phrases} apps: 1]
[{self, evident} apps: 4]
[{book, on} apps: 38]
[{all, oriental} apps: 1]
[{in, vol} apps: 16]
[{shadow, 158} apps: 2]
[{on, light} apps: 21]
[{of, light} apps: 145]
[{transparency, of} apps: 4]
[{of, christ} apps: 9]
[{a, caution} apps: 2]
[{be, practically} apps: 1]
[{law, of} apps: 12]
[{hall, in} apps: 2]
[{of, these} apps: 137]
[{bring, forward} apps: 2]
[{in, the} apps: 1787]
[{them, bring} apps: 1]
[{cases, begin} apps: 1]
[{so, far} apps: 31]
[{clue, is} apps: 1]
[{differences, of} apps: 5]
[{much, more} apps: 19]
[{to, the} apps: 1381]
[{232, 234} apps: 3]
[{1882, still} apps: 1]
[{centrale, administrative} apps: 1]
[{582, 583} apps: 2]
[{subjects, 5} apps: 2]
[{not, insuperable} apps: 2]
[{457, on} apps: 1]
[{botany, for} apps: 5]
[{and, dissertations} apps: 3]
[{edition, 10} apps: 1]
[{more, in} apps: 11]
[{by, a} apps: 116]
[{i, moral} apps: 2]
[{the, very} apps: 30]
[{almost, all} apps: 10]
[{in, his} apps: 116]
[{at, deciphering} apps: 1]
[{suggestions, for} apps: 10]
[{my, own} apps: 13]
[{at, turin} apps: 3]
[{of, the} apps: 4417]
[{this, or} apps: 1]
[{light, and} apps: 211]
[{nevertheless, i} apps: 1]
[{chaotic, confusion} apps: 1]
[{curls, 389} apps: 2]
[{apparent, size} apps: 11]
[{538, 539} apps: 2]
[{606, of} apps: 1]
[{specific, rights} apps: 1]
[{at, milan} apps: 45]
[{of, the} apps: 4417]
[{of, cast} apps: 7]
[{must, suppose} apps: 4]
[{of, different} apps: 13]
[{relative, proportions} apps: 12]
[{moral, precepts} apps: 2]
[{and, shade} apps: 106]
[{proof, sheets} apps: 1]
[{pages, to} apps: 1]
[{the, commendatore} apps: 2]
[{merely, a} apps: 3]
[{to, say} apps: 83]
[{accademia, at} apps: 5]
[{497, on} apps: 1]
[{helps, for} apps: 2]
[{casi, 39} apps: 1]
[{known, portion} apps: 1]
[{of, colours} apps: 24]
[{650, vii} apps: 1]
[{on, images} apps: 2]
[{which, he} apps: 43]
[{illuminated, bodies} apps: 2]
[{decay, and} apps: 1]
[{barto, has} apps: 1]
[{375, of} apps: 1]
[{in, painting} apps: 18]
[{on, painting} apps: 27]
[{128, 129} apps: 2]
[{perspective, of} apps: 24]
[{position, of} apps: 26]
[{and, recompose} apps: 1]
[{for, an} apps: 9]
[{under, each} apps: 1]
[{on, relative} apps: 2]
[{of, trees} apps: 46]
[{artist, when} apps: 2]
[{into, eight} apps: 1]
[{and, elements} apps: 2]
[{phrases, much} apps: 1]
[{by, the} apps: 724]
[{cannot, now} apps: 1]
[{for, the} apps: 289]
[{regard, to} apps: 34]
[{307, vii} apps: 1]
[{original, texts} apps: 3]
[{the, productive} apps: 2]
[{france, paris} apps: 2]
[{or, cork} apps: 1]
[{about, your} apps: 1]
[{through, holes} apps: 3]
[{commissario, della} apps: 1]
[{clue, is} apps: 1]
[{vii, philosophy} apps: 2]
[{printed, first} apps: 3]
[{these, editions} apps: 1]
[{the, sforza} apps: 8]
[{and, the} apps: 1034]
[{wanted, to} apps: 6]
[{remarks, 128} apps: 2]
[{redistributing, this} apps: 1]
[{his, mighty} apps: 1]
[{martelli, is} apps: 1]
[{and, at} apps: 75]
[{and, shade} apps: 106]
[{284, 286} apps: 2]
[{501, a} apps: 1]
[{225, an} apps: 1]
[{because, i} apps: 9]
[{119, 122} apps: 2]
[{and, the} apps: 1034]
[{by, beginning} apps: 1]
[{of, the} apps: 4417]
[{the, perception} apps: 5]
[{the, views} apps: 1]
[{the, aid} apps: 6]
[{appreciated, in} apps: 1]
[{effect, of} apps: 26]
[{gravures, by} apps: 1]
[{this, ancient} apps: 1]
[{of, a} apps: 546]
[{would, use} apps: 3]
[{of, the} apps: 4417]
[{mention, with} apps: 1]
[{variability, of} apps: 2]
[{disappearance, definition} apps: 1]
[{the, distance} apps: 68]
[{ii, can} apps: 1]
[{of, flower} apps: 2]
[{25th, hence} apps: 1]
[{unjustly, accused} apps: 1]
[{of, the} apps: 4417]
[{and, how} apps: 25]
[{however, be} apps: 4]
[{portraits, 571} apps: 2]
[{original, texts} apps: 3]
[{of, light} apps: 145]
[{the, text} apps: 127]
[{1971, these} apps: 1]
[{description, vasari} apps: 1]
[{attempting, to} apps: 2]
[{548, on} apps: 1]
[{accounted, for} apps: 3]
[{necessity, of} apps: 5]
[{and, the} apps: 1034]
[{the, other} apps: 242]
[{them, his} apps: 1]
[{leonardo, s} apps: 200]
[{in, movement} apps: 5]
[{on, the} apps: 988]
[{read, the} apps: 3]
[{mss, for} apps: 3]
[{intended, the} apps: 1]
[{them, cannot} apps: 1]
[{on, images} apps: 2]
[{607, 609} apps: 2]
[{relations, of} apps: 6]
[{page, on} apps: 2]
[{521, 530} apps: 2]
[{to, state} apps: 2]
[{proof, of} apps: 9]
[{and, twenty} apps: 5]
[{in, the} apps: 1787]
[{the, proper} apps: 5]
[{of, each} apps: 37]
[{almost, inexplicable} apps: 1]
[{order, in} apps: 5]
[{shown, that} apps: 5]
[{games, and} apps: 2]
[{give, us} apps: 7]
[{out, of} apps: 75]
[{painting, 18} apps: 2]
[{on, the} apps: 988]
[{small, portion} apps: 6]
[{several, short} apps: 1]
[{119, 122} apps: 2]
[{easily, ascertain} apps: 1]
[{collector, who} apps: 1]
[{of, any} apps: 40]
[{leonardo, s} apps: 200]
[{s, literary} apps: 2]
[{of, the} apps: 4417]
[{perspective, of} apps: 24]
[{on, branches} apps: 3]
[{piero, di} apps: 4]
[{510, 512} apps: 2]
[{263, 271} apps: 1]
[{differences, of} apps: 5]
[{vere, bayne} apps: 1]
[{shadows, 216} apps: 2]
[{in, the} apps: 1787]
[{of, his} apps: 149]
[{to, add} apps: 3]
[{than, with} apps: 3]
[{to, readers} apps: 2]
[{the, collector} apps: 1]
[{had, given} apps: 3]
[{begun, throwing} apps: 1]
[{to, prove} apps: 42]
[{555, 559} apps: 1]
[{the, enormous} apps: 2]
[{he, has} apps: 31]
[{was, begun} apps: 2]
[{for, the} apps: 289]
[{thing, seen} apps: 1]
[{be, verified} apps: 2]
[{it, added} apps: 1]
[{at, the} apps: 466]
[{in, reading} apps: 5]
[{principles, of} apps: 15]
[{manuscripts, preserved} apps: 1]
[{de, l} apps: 13]
[{150, 152} apps: 2]
[{on, draperies} apps: 2]
[{and, complex} apps: 2]
[{of, modern} apps: 5]
[{of, company} apps: 3]
[{that, he} apps: 94]
[{suggestions, for} apps: 10]
[{important, passages} apps: 2]
[{arrangement, of} apps: 29]
[{the, proportions} apps: 24]
[{or, less} apps: 34]
[{exceptional, interest} apps: 2]
[{to, 1566} apps: 1]
[{of, the} apps: 4417]
[{index, the} apps: 1]
[{of, their} apps: 128]
[{more, may} apps: 1]
[{perspective, gradations} apps: 2]
[{21, 23} apps: 4]
[{a, naturalist} apps: 1]
[{classification, of} apps: 5]
[{study, of} apps: 23]
[{188, 191} apps: 2]
[{focus, of} apps: 2]
[{prolegomena, 110} apps: 2]
[{to, which} apps: 41]
[{117, 118} apps: 1]
[{by, the} apps: 724]
[{at, the} apps: 466]
[{and, number} apps: 1]
[{when, first} apps: 1]
[{to, this} apps: 98]
[{long, one} apps: 1]
[{had, been} apps: 39]
[{you, can} apps: 44]
[{so, long} apps: 16]
[{by, deed} apps: 1]
[{derived, for} apps: 1]
[{of, the} apps: 4417]
[{other, information} apps: 2]
[{to, the} apps: 1381]
[{211, 212} apps: 2]
[{and, interesting} apps: 3]
[{holkham, hall} apps: 1]
[{but, from} apps: 10]
[{books, on} apps: 11]
[{sughero, the} apps: 1]
[{of, the} apps: 4417]
[{last, carry} apps: 1]
[{the, direction} apps: 21]
[{their, order} apps: 1]
[{283, on} apps: 1]
[{derived, for} apps: 1]
[{at, the} apps: 466]
[{desperate, one} apps: 1]
[{shadows, 272} apps: 2]
[{to, him} apps: 39]
[{58, 64} apps: 1]
[{is, not} apps: 146]
[{rule, 225} apps: 2]
[{accorded, me} apps: 1]
[{nature, of} apps: 70]
[{wellknown, and} apps: 1]
[{126, 127} apps: 2]
[{the, trattato} apps: 7]
[{leonardos, writing} apps: 1]
[{in, cast} apps: 2]
[{pyramid, of} apps: 35]
[{against, one} apps: 3]
[{197, effects} apps: 1]
[{all, the} apps: 238]
[{be, accounted} apps: 1]
[{whatever, to} apps: 1]
[{himself, their} apps: 1]
[{observations, turn} apps: 1]
[{308, 309} apps: 2]
[{of, colours} apps: 24]
[{proportions, of} apps: 38]
[{the, reader} apps: 18]
[{but, also} apps: 4]
[{several, short} apps: 1]
[{the, pyramid} apps: 38]
[{eye, 93} apps: 2]
[{known, portion} apps: 1]
[{found, on} apps: 4]
[{the, relations} apps: 7]
[{the, written} apps: 3]
[{handwriting, appears} apps: 1]
[{together, with} apps: 27]
[{377a, 1170a} apps: 1]
[{with, the} apps: 412]
[{let, no} apps: 1]
[{at, that} apps: 28]
[{painter, but} apps: 2]
[{himself, he} apps: 4]
[{trees, 470} apps: 3]
[{and, great} apps: 5]
[{handwriting, appears} apps: 1]
[{307, vii} apps: 1]
[{of, representing} apps: 12]
[{by, two} apps: 8]
[{logical, sequence} apps: 1]
[{of, light} apps: 145]
[{of, perspective} apps: 34]
[{in, their} apps: 77]
[{212, sixth} apps: 1]
[{is, frequently} apps: 1]
[{da, vinci} apps: 60]
[{updated, june} apps: 1]
[{so, wellknown} apps: 1]
[{a, chronological} apps: 1]
[{with, regard} apps: 34]
[{through, copies} apps: 1]
[{a, mystery} apps: 1]
[{the, direction} apps: 21]
[{been, lost} apps: 5]
[{on, the} apps: 988]
[{shadows, 272} apps: 2]
[{and, registered} apps: 1]
[{sex, 582} apps: 2]
[{is, written} apps: 57]
[{of, derived} apps: 14]
[{than, one} apps: 8]
[{practice, of} apps: 11]
[{196, 197} apps: 2]
[{eight, distinct} apps: 1]
[{would, seem} apps: 30]
[{each, other} apps: 78]
[{to, the} apps: 1381]
[{to, include} apps: 6]
[{147, second} apps: 1]
[{our, estimate} apps: 1]
[{which, are} apps: 217]
[{eye, and} apps: 92]
[{april, 1883} apps: 1]
[{the, line} apps: 69]
[{is, to} apps: 158]
[{651, 652} apps: 2]
[{xvith, and} apps: 1]
[{thompson, keeper} apps: 1]
[{of, leaves} apps: 4]
[{gradations, of} apps: 8]
[{where, all} apps: 4]
[{librarian, to} apps: 1]
[{ebook, of} apps: 1]
[{199, on} apps: 1]
[{give, us} apps: 7]
[{arisen, during} apps: 1]
[{the, cast} apps: 11]
[{let, no} apps: 1]
[{of, derived} apps: 14]
[{to, be} apps: 412]
[{and, shade} apps: 106]
[{appropriate, gestures} apps: 3]
[{the, last} apps: 56]
[{inversion, of} apps: 3]
[{the, various} apps: 45]
[{already, proved} apps: 2]
[{with, considerable} apps: 1]
[{of, some} apps: 35]
[{on, prospettiva} apps: 1]
[{sorts, of} apps: 6]
[{continued, to} apps: 1]
[{injury, from} apps: 1]
[{of, the} apps: 4417]
[{the, first} apps: 214]
[{and, choice} apps: 2]
[{are, perhaps} apps: 2]
[{with, the} apps: 412]
[{another, page} apps: 2]
[{elements, of} apps: 9]
[{on, light} apps: 21]
[{the, artist} apps: 17]
[{pages, which} apps: 1]
[{of, the} apps: 4417]
[{this, authoritative} apps: 1]
[{which, obliged} apps: 1]
[{a, first} apps: 5]
[{to, their} apps: 32]
[{emblems, 681} apps: 1]
[{years, within} apps: 1]
[{in, the} apps: 1787]
[{1883, f} apps: 1]
[{175, 179} apps: 3]
[{the, nature} apps: 66]
[{on, the} apps: 988]
[{original, sketches} apps: 2]
[{a, finally} apps: 1]
[{288, vi} apps: 1]
[{of, alternative} apps: 1]
[{notebooks, of} apps: 6]
[{painting, of} apps: 11]
[{on, the} apps: 988]
[{and, emblems} apps: 4]
[{on, mechanics} apps: 2]
[{the, outlines} apps: 23]
[{of, volume} apps: 4]
[{they, are} apps: 216]
[{company, 493} apps: 2]
[{on, the} apps: 988]
[{an, experiment} apps: 8]
[{in, a} apps: 273]
[{in, the} apps: 1787]
[{character, runs} apps: 1]
[{of, any} apps: 40]
[{member, of} apps: 3]
[{responsible, and} apps: 1]
[{regard, to} apps: 34]
[{von, humboldt} apps: 2]
[{of, a} apps: 546]
[{extant, these} apps: 1]
[{two, here} apps: 1]
[{to, avoid} apps: 8]
[{the, published} apps: 3]
[{many, and} apps: 10]
[{is, not} apps: 146]
[{commendatore, giov} apps: 2]
[{429, the} apps: 1]
[{of, painting} apps: 66]
[{which, if} apps: 2]
[{me, in} apps: 12]
[{the, revd} apps: 2]
[{minor, artists} apps: 2]
[{collection, at} apps: 3]
[{is, above} apps: 18]
[{position, of} apps: 26]
[{in, the} apps: 1787]
[{of, detail} apps: 3]
[{editions, were} apps: 1]
[{and, shadow} apps: 16]
[{regard, to} apps: 34]
[{illustrations, that} apps: 1]
[{the, published} apps: 3]
[{is, the} apps: 373]
[{which, are} apps: 217]
[{represent, a} apps: 15]
[{them, aside} apps: 2]
[{of, light} apps: 145]
[{for, pictures} apps: 3]
[{to, add} apps: 3]
[{the, juxtaposition} apps: 2]
[{681, 702} apps: 2]
[{that, he} apps: 94]
[{for, your} apps: 10]
[{shown, that} apps: 5]
[{numbers, from} apps: 1]
[{with, recording} apps: 1]
[{a, leaf} apps: 8]
[{word, into} apps: 1]
[{be, here} apps: 3]
[{for, much} apps: 2]
[{bologna, in} apps: 1]
[{pen, representing} apps: 1]
[{531, 532} apps: 2]
[{della, pittura} apps: 7]
[{for, compositions} apps: 2]
[{the, views} apps: 1]
[{could, not} apps: 43]
[{and, it} apps: 123]
[{rules, 289} apps: 2]
[{distance, from} apps: 58]
[{of, volunteers} apps: 1]
[{order, of} apps: 24]
[{proportions, of} apps: 38]
[{your, country} apps: 1]
[{times, and} apps: 4]
[{and, leaves} apps: 7]
[{of, merely} apps: 1]
[{text, of} apps: 21]
[{admonition, to} apps: 2]
[{of, derived} apps: 14]
[{whole, vasari} apps: 1]
[{by, the} apps: 724]
[{eye, 74} apps: 3]
[{on, the} apps: 988]
[{the, emotions} apps: 2]
[{there, any} apps: 3]
[{repeat, the} apps: 3]
[{manuscript, and} apps: 3]
[{end, of} apps: 60]
[{of, strength} apps: 5]
[{the, notebooks} apps: 6]
[{of, the} apps: 4417]
[{colours, in} apps: 13]
[{da, vinci} apps: 60]
[{is, important} apps: 2]
[{of, the} apps: 4417]
[{be, 1509} apps: 1]
[{to, 1566} apps: 1]
[{will, begin} apps: 5]
[{studying, 495} apps: 2]
[{position, to} apps: 7]
[{artist, s} apps: 10]
[{without, written} apps: 1]
[{129, first} apps: 1]
[{rendering, of} apps: 2]
[{easily, ascertain} apps: 1]
[{every, instance} apps: 1]
[{fragment, inciting} apps: 1]
[{his, mighty} apps: 1]
[{time, his} apps: 1]
[{to, this} apps: 98]
[{long, i} apps: 2]
[{mathematics, ready} apps: 1]
[{which, are} apps: 217]
[{is, printed} apps: 1]
[{head, of} apps: 29]
[{the, deluge} apps: 24]
[{the, lighting} apps: 4]
[{games, and} apps: 2]
[{preliminary, observations} apps: 3]
[{i, was} apps: 15]
[{so, long} apps: 16]
[{effect, of} apps: 26]
[{on, the} apps: 988]
[{drawings, 680} apps: 2]
[{out, his} apps: 7]
[{is, written} apps: 57]
[{them, cannot} apps: 1]
[{passage, that} apps: 4]
[{the, picture} apps: 30]
[{of, the} apps: 4417]
[{had, in} apps: 2]
[{century, piero} apps: 1]
[{by, the} apps: 724]
[{the, third} apps: 43]
[{been, published} apps: 21]
[{on, the} apps: 988]
[{to, arrange} apps: 7]
[{and, construction} apps: 2]
[{were, infinitely} apps: 1]
[{this, confusion} apps: 2]
[{accorded, me} apps: 1]
[{the, movement} apps: 24]
[{the, student} apps: 3]
[{suggestions, for} apps: 10]
[{general, conclusions} apps: 2]
[{camera, obscura} apps: 11]
[{of, the} apps: 4417]
[{since, leonardo} apps: 4]
[{division, and} apps: 1]
[{original, order} apps: 3]
[{the, known} apps: 1]
[{ebook, was} apps: 1]
[{on, the} apps: 988]
[{function, of} apps: 13]
[{for, landscapes} apps: 2]
[{40, 41} apps: 3]
[{their, contents} apps: 5]
[{della, pittura} apps: 7]
[{conclusions, 67} apps: 1]
[{written, on} apps: 28]
[{perspective, 567} apps: 2]
[{77, 82} apps: 1]
[{the, mistaken} apps: 2]
[{to, state} apps: 2]
[{manner, in} apps: 3]
[{262, v} apps: 1]
[{of, the} apps: 4417]
[{year, ahead} apps: 1]
[{battle, pieces} apps: 2]
[{liberal, manner} apps: 1]
[{on, the} apps: 988]
[{problems, which} apps: 1]
[{ii, the} apps: 4]
[{water, remember} apps: 1]
[{in, his} apps: 116]
[{of, the} apps: 4417]
[{practice, 490} apps: 2]
[{the, italian} apps: 8]
[{by, leonardo} apps: 63]
[{has, become} apps: 5]
[{of, which} apps: 119]
[{and, inconvenient} apps: 1]
[{by, leonardo} apps: 63]
[{not, have} apps: 18]
[{us, the} apps: 10]
[{ceriani, of} apps: 1]
[{effects, of} apps: 15]
[{4, suggestions} apps: 1]
[{for, an} apps: 9]
[{since, been} apps: 2]
[{a, fortuitous} apps: 1]
[{possible, by} apps: 1]
[{movement, of} apps: 25]
[{means, the} apps: 4]
[{alfred, marks} apps: 2]
[{are, extremely} apps: 3]
[{the, human} apps: 41]
[{preserved, there} apps: 1]
[{of, volume} apps: 4]
[{me, to} apps: 30]
[{preserved, to} apps: 2]
[{which, now} apps: 3]
[{by, our} apps: 3]
[{torso, 355} apps: 2]
[{singular, fatality} apps: 1]
[{a, singular} apps: 1]
[{through, holes} apps: 3]
[{the, five} apps: 4]
[{by, the} apps: 724]
[{are, written} apps: 39]
[{distances, 182} apps: 2]
[{of, the} apps: 4417]
[{he, seems} apps: 6]
[{effect, of} apps: 26]
[{them, cannot} apps: 1]
[{reading, the} apps: 3]
[{s, literary} apps: 2]
[{an, experiment} apps: 8]
[{eating, and} apps: 2]
[{i, am} apps: 46]
[{in, a} apps: 273]
[{of, colours} apps: 24]
[{letters, and} apps: 4]
[{by, one} apps: 11]
[{to, this} apps: 98]
[{said, the} apps: 5]
[{linear, perspective} apps: 10]
[{by, one} apps: 11]
[{a, connected} apps: 4]
[{610, 611} apps: 2]
[{610, 611} apps: 2]
[{original, manuscripts} apps: 1]
[{light, on} apps: 25]
[{interest, which} apps: 2]
[{trees, 470} apps: 3]
[{and, portraits} apps: 3]
[{the, manuscripts} apps: 23]
[{the, rays} apps: 44]
[{may, perhaps} apps: 4]
[{147, second} apps: 1]
[{cast, shadow} apps: 11]
[{like, the} apps: 62]
[{in, the} apps: 1787]
[{s, studio} apps: 4]
[{i, have} apps: 120]
[{experiment, 65} apps: 2]
[{could, not} apps: 43]
[{of, them} apps: 52]
[{the, manuscripts} apps: 23]
[{to, him} apps: 39]
[{in, leaves} apps: 2]
[{of, light} apps: 145]
[{the, importance} apps: 6]
[{giov, morelli} apps: 2]
[{of, complete} apps: 1]
[{small, portion} apps: 6]
[{say, as} apps: 2]
[{reverberation, 205} apps: 2]
[{task, the} apps: 1]
[{the, head} apps: 86]
[{66, general} apps: 1]
[{opposite, pyramids} apps: 2]
[{di, marzo} apps: 1]
[{141, 145} apps: 2]
[{than, one} apps: 8]
[{task, the} apps: 1]
[{tube, a} apps: 1]
[{89, on} apps: 1]
[{a, caution} apps: 2]
[{permission, please} apps: 1]
[{shape, of} apps: 13]
[{to, check} apps: 2]
[{the, queens} apps: 1]
[{serious, interruption} apps: 1]
[{and, memory} apps: 3]
[{191, on} apps: 1]
[{indicated, and} apps: 2]
[{from, the} apps: 826]
[{148, 149} apps: 2]
[{notes, in} apps: 11]
[{experiment, 226} apps: 2]
[{the, passages} apps: 22]
[{her, majesty} apps: 3]
[{and, registered} apps: 1]
[{a, few} apps: 30]
[{a, room} apps: 8]
[{the, proportions} apps: 24]
[{which, obliged} apps: 1]
[{of, volunteers} apps: 1]
[{order, taken} apps: 1]
[{converge, in} apps: 3]
[{had, gone} apps: 1]
[{every, instance} apps: 1]
[{by, this} apps: 36]
[{distinct, and} apps: 3]
[{292, an} apps: 1]
[{of, sight} apps: 43]
[{to, have} apps: 91]
[{bodies, 136} apps: 1]
[{41, the} apps: 2]
[{study, 502} apps: 2]
[{and, history} apps: 2]
[{methods, of} apps: 10]
[{of, leonardo} apps: 78]
[{observes, with} apps: 1]
[{the, extensive} apps: 1]
[{of, strength} apps: 5]
[{321, proportions} apps: 1]
[{de, france} apps: 6]
[{readable, by} apps: 1]
[{the, colour} apps: 51]
[{distance, of} apps: 42]
[{intentions, no} apps: 1]
[{reading, speaking} apps: 1]
[{arrangement, of} apps: 29]
[{leonardo, s} apps: 200]
[{for, instance} apps: 37]
[{pages, to} apps: 1]
[{324, relative} apps: 2]
[{treatment, of} apps: 9]
[{to, the} apps: 1381]
[{in, the} apps: 1787]
[{the, best} apps: 17]
[{and, registered} apps: 1]
[{had, the} apps: 12]
[{plan, of} apps: 37]
[{of, the} apps: 4417]
[{how, to} apps: 45]
[{to, ascertain} apps: 6]
[{on, painting} apps: 27]
[{in, the} apps: 1787]
[{that, during} apps: 2]
[{on, light} apps: 21]
[{on, the} apps: 988]
[{129, first} apps: 1]
[{the, effect} apps: 27]
[{of, the} apps: 4417]
[{injury, from} apps: 1]
